-122.027,90.556,138.40361,36.48894,89.241
-122.027,89.956,138.40371,36.48354,89.247
-122.027,86.956,138.40421,36.45651,89.278
-120.827,84.556,138.41798,36.43504,89.303
-120.227,95.956,138.42281,36.53783,89.184
-120.227,84.556,138.42468,36.43512,89.303
-116.627,104.956,138.46157,36.61939,89.09
-116.627,104.356,138.46167,36.61398,89.097
-116.627,81.556,138.46529,36.40856,89.333
-114.227,82.756,138.49186,36.41968,89.321
-113.627,82.756,138.49855,36.41975,89.321
-113.027,82.756,138.50524,36.41983,89.32
-111.227,81.556,138.52548,36.40923,89.333
-108.227,113.956,138.55412,36.70152,88.995
-107.627,113.956,138.56084,36.7016,88.995
-107.027,113.956,138.56755,36.70167,88.995
-106.427,113.956,138.57426,36.70174,88.995
-105.227,53.956,138.5963,36.16125,89.617
-105.227,53.356,138.59638,36.15585,89.623
-104.027,83.356,138.60549,36.42631,89.313
-104.027,66.556,138.60786,36.27493,89.487
-104.027,64.156,138.6082,36.2533,89.512
-103.427,113.956,138.60783,36.70209,88.995
-103.427,67.156,138.61446,36.2804,89.481
-102.827,54.556,138.62288,36.16693,89.61
-102.227,82.756,138.62564,36.4211,89.319
-102.227,54.556,138.62955,36.167,89.61
-101.627,82.756,138.63233,36.42117,89.319
-101.627,58.156,138.63573,36.19951,89.573
-101.627,54.556,138.63622,36.16707,89.61
-100.427,115.756,138.64115,36.71865,88.975
-100.427,49.156,138.65029,36.11854,89.666
-100.427,48.556,138.65037,36.11313,89.672
-100.427,47.956,138.65045,36.10773,89.678
-100.427,47.356,138.65053,36.10232,89.684
-100.427,46.756,138.65061,36.09691,89.69
-99.827,80.956,138.65265,36.40515,89.337
-99.827,68.956,138.65428,36.29702,89.461
-98.627,37.756,138.67179,36.01601,89.783
-98.027,37.756,138.67844,36.01607,89.783
-96.827,116.956,138.68128,36.72986,88.963
-96.827,35.956,138.69199,35.99998,89.801
-96.827,35.356,138.69207,35.99457,89.807
-95.027,34.756,138.7121,35.98935,89.813
-93.227,31.156,138.73251,35.9571,89.85
-90.827,119.356,138.74814,36.75211,88.937
-89.627,25.156,138.77314,35.90338,89.911
-89.027,25.156,138.77978,35.90344,89.911
-86.027,119.356,138.80189,36.75259,88.936
-86.027,21.556,138.81343,35.87129,89.947
-83.627,125.956,138.82799,36.81229,88.867
-83.627,21.556,138.84,35.87151,89.947
-83.027,21.556,138.84665,35.87156,89.947
-82.427,21.556,138.85329,35.87162,89.947
-78.827,126.556,138.88171,36.81814,88.86
-77.027,19.756,138.91327,35.85587,89.965
-76.427,19.756,138.91991,35.85592,89.965
-75.827,19.756,138.92656,35.85597,89.965
-75.227,19.756,138.9332,35.85602,89.965
-75.227,-26.444,138.93786,35.43964,90.435
-73.427,19.756,138.95312,35.85617,89.964
-73.427,19.156,138.95318,35.85076,89.971
-73.427,18.556,138.95324,35.84535,89.977
-73.427,-24.644,138.9575,35.456,90.416
-72.827,-30.044,138.96464,35.40738,90.471
-71.627,16.756,138.97334,35.82927,89.995
-71.627,16.156,138.9734,35.82387,90.001
-71.627,15.556,138.97346,35.81846,90.007
-71.627,-46.844,138.97944,35.25605,90.64
-71.627,-47.444,138.9795,35.25065,90.646
-71.027,133.756,138.9684,36.88369,88.784
-69.827,138.556,138.98138,36.92704,88.734
-69.827,137.956,138.98144,36.92163,88.74
-69.827,137.356,138.9815,36.91622,88.746
-69.827,136.756,138.98156,36.91082,88.752
-69.827,9.556,138.99395,35.76452,90.068
-69.227,-30.644,139.00432,35.40225,90.477
-69.227,-31.844,139.00443,35.39144,90.489
-69.227,-54.044,139.00647,35.19134,90.713
-68.027,7.756,139.01402,35.74844,90.086
-68.027,-22.844,139.01682,35.47264,90.398
-68.027,-35.444,139.01797,35.35908,90.525
-68.027,-36.044,139.01802,35.35367,90.531
-68.027,-37.844,139.01819,35.33745,90.549
-66.827,144.556,139.01447,36.98134,88.67
-66.227,144.556,139.02121,36.98139,88.67
-65.627,144.556,139.02795,36.98143,88.67
-65.027,144.556,139.03469,36.98148,88.67
-65.027,-19.244,139.04956,35.50531,90.361
-64.427,144.556,139.04143,36.98152,88.67
-64.427,3.556,139.05419,35.71085,90.129
-63.827,144.556,139.04817,36.98157,88.67
-63.227,-19.244,139.0694,35.50544,90.361
-62.627,2.356,139.07418,35.70016,90.141
-62.627,-19.244,139.07602,35.50548,90.361
-60.827,1.756,139.09412,35.69488,90.147
-60.827,-18.044,139.09576,35.51642,90.348
-60.227,1.756,139.10075,35.69492,90.147
-59.627,1.756,139.10738,35.69496,90.147
-59.027,1.756,139.11401,35.695,90.147
-59.027,-16.244,139.11546,35.53276,90.33
-59.027,-164.444,139.12697,34.19685,91.809
-58.427,151.756,139.10821,37.04683,88.594
-57.227,-0.044,139.13404,35.67889,90.165
-57.227,-1.244,139.13413,35.66808,90.177
-57.227,-9.044,139.13474,35.59777,90.257
-57.227,-12.044,139.13498,35.57073,90.287
-57.227,-12.644,139.13503,35.56533,90.293
-57.227,-56.444,139.13842,35.17053,90.736
-57.227,-58.244,139.13856,35.15431,90.754
-56.627,-160.244,139.15271,34.23486,91.768
-54.827,-46.844,139.16405,35.25722,90.639
-53.627,146.356,139.16259,36.99849,88.65
-53.027,145.756,139.16938,36.99312,88.657
-53.027,143.956,139.16952,36.9769,88.675
-51.827,-45.044,139.19689,35.27362,90.621
-51.227,-44.444,139.20345,35.27906,90.615
-50.627,-150.044,139.21717,34.32716,91.667
-49.427,-43.244,139.22315,35.28998,90.602
-48.827,-43.244,139.22975,35.29001,90.602
